orig_dataset	orig_entry	orig_label	dest_dataset	dest_entry	node	value
ensembl_gene	ENSG00000172915	NBEA	ensembl_transcript	ENST00000379939	transcript_biotype_ensembl	protein coding
ensembl_gene	ENSG00000172915	NBEA	ensembl_transcript	ENST00000400445	transcript_biotype_ensembl	protein coding
ensembl_gene	ENSG00000172915	NBEA	ensembl_transcript	ENST00000537702	transcript_biotype_ensembl	protein coding
ensembl_gene	ENSG00000172915	NBEA	ensembl_transcript	ENST00000629018	transcript_biotype_ensembl	protein coding
ensembl_gene	ENSG00000172915	NBEA	ncbigene	26960	gene_evolutionary_conservation_homologene	Insect, Worm
ensembl_gene	ENSG00000172915	NBEA	ncbigene	26960	gene_molecular_function_ncbigene	binding
ensembl_gene	ENSG00000172915	NBEA	ncbigene	26960	gene_biological_process_ncbigene	cellular process
ensembl_gene	ENSG00000172915	NBEA	ncbigene	26960	gene_biological_process_ncbigene	localization
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A0D9SF28	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KQL6	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KQP5	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KRX1	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KRZ1	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KS18	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KS58	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KSX3	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KTV6	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KTY1	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KWL1	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KX92	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXL4	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXR7	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXW8	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXY8	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KZ13	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QJB2	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QJQ0	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QKR1	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QKR6	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q5T321	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q8NFP9	protein_disease_related_proteins_uniprot	Intellectual disability
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q8NFP9	protein_disease_related_proteins_uniprot	Disease variant
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q8NFP9	protein_disease_related_proteins_uniprot	Epilepsy
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A0D9SF28	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KQL6	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KQP5	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KRX1	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KRZ1	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KS18	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KS58	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KSX3	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KTV6	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KTY1	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KWL1	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KX92	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXL4	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXR7	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXW8	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXY8	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KZ13	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QJB2	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QJQ0	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QKR1	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QKR6	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q5T321	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q8NFP9	structure_data_existence_uniprot	Proteins with structure data
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A0D9SF28	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KQL6	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KQP5	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KRX1	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KRZ1	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KS18	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KS58	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KSX3	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KTV6	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KTY1	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KWL1	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KX92	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXL4	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXR7	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXW8	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KXY8	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5KZ13	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QJB2	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QJQ0	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QKR1	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	A0A8I5QKR6	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q5T321	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	uniprot	Q8NFP9	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000172915	NBEA	mondo	0030930	disease_diseases_mondo	human disease or disorder
ensembl_gene	ENSG00000113384	GOLPH3	ensembl_transcript	ENST00000265070	transcript_biotype_ensembl	protein coding
ensembl_gene	ENSG00000113384	GOLPH3	ncbigene	64083	gene_evolutionary_conservation_homologene	Insect, Worm
ensembl_gene	ENSG00000113384	GOLPH3	ncbigene	64083	gene_molecular_function_ncbigene	binding
ensembl_gene	ENSG00000113384	GOLPH3	ncbigene	64083	gene_biological_process_ncbigene	metabolic process
ensembl_gene	ENSG00000113384	GOLPH3	ncbigene	64083	gene_biological_process_ncbigene	cellular process
ensembl_gene	ENSG00000113384	GOLPH3	ncbigene	64083	gene_biological_process_ncbigene	response to stimulus
ensembl_gene	ENSG00000113384	GOLPH3	ncbigene	64083	gene_biological_process_ncbigene	biological regulation
ensembl_gene	ENSG00000113384	GOLPH3	ncbigene	64083	gene_biological_process_ncbigene	localization
ensembl_gene	ENSG00000113384	GOLPH3	uniprot	D6REM1	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000113384	GOLPH3	uniprot	Q9H4A6	protein_disease_related_proteins_uniprot	Unclassified
ensembl_gene	ENSG00000113384	GOLPH3	uniprot	D6REM1	structure_data_existence_uniprot	Proteins without structure data
ensembl_gene	ENSG00000113384	GOLPH3	uniprot	Q9H4A6	structure_data_existence_uniprot	Proteins with structure data
ensembl_gene	ENSG00000113384	GOLPH3	uniprot	D6REM1	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000113384	GOLPH3	uniprot	Q9H4A6	interaction_proteins_in_pathway_reactome	Not in the pathway
ensembl_gene	ENSG00000170430	MGMT	ensembl_transcript	ENST00000306010	transcript_biotype_ensembl	protein coding
ensembl_gene	ENSG00000170430	MGMT	ensembl_transcript	ENST00000651593	transcript_biotype_ensembl	protein coding
ensembl_gene	ENSG00000170430	MGMT	ncbigene	4255	gene_evolutionary_conservation_homologene	Zebrafish
ensembl_gene	ENSG00000170430	MGMT	ncbigene	4255	gene_molecular_function_ncbigene	catalytic activity
ensembl_gene	ENSG00000170430	MGMT	ncbigene	4255	gene_molecular_function_ncbigene	binding
ensembl_gene	ENSG00000170430	MGMT	ncbigene	4255	gene_biological_process_ncbigene	metabolic process
