orig_dataset	orig_entry	orig_label	dest_dataset	dest_entry	node	value
uniprot	P29992	GNA11_HUMAN	ensembl_gene	ENSG00000088256	gene_specific_expression_in_tissues_hpa	Intestine
uniprot	P29992	GNA11_HUMAN	uniprot	P29992	protein_cellular_component_uniprot	plasma membrane
uniprot	P29992	GNA11_HUMAN	uniprot	P29992	interaction_chembl_assay_existence_uniprot	Conf-score 9: Direct single protein target assigned
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL667	compound_drug_indication_mesh_chembl	Infections
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL1098659	compound_drug_indication_mesh_chembl	Infections
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL460026	compound_drug_indication_mesh_chembl	Infections
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL1236970	compound_drug_indication_mesh_chembl	Infections
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL121	compound_drug_indication_mesh_chembl	Infections
uniprot	P29992	GNA11_HUMAN	uniprot	P29992	structure_data_existence_uniprot	Proteins with structure data
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL667	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL539	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL1098659	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL548	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL815	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL8659	compound_drug_development_phase_chembl	2: Efficacy
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL1009	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL460026	compound_drug_development_phase_chembl	3: Safety & Efficacy
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL464982	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL1236970	compound_drug_development_phase_chembl	3: Safety & Efficacy
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL14021	compound_drug_development_phase_chembl	2: Efficacy
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL121	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL465183	compound_drug_development_phase_chembl	2: Efficacy
uniprot	P29992	GNA11_HUMAN	chembl_compound	CHEMBL2106633	compound_drug_development_phase_chembl	1: PK tolerability
uniprot	P43119	PI2R_HUMAN	ensembl_gene	ENSG00000160013	gene_specific_expression_in_tissues_hpa	Lung
uniprot	P43119	PI2R_HUMAN	uniprot	P43119	protein_cellular_component_uniprot	plasma membrane
uniprot	P43119	PI2R_HUMAN	uniprot	P43119	interaction_chembl_assay_existence_uniprot	Conf-score 9: Direct single protein target assigned
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL1139	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL1236970	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL494	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL3137332	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL3545043	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL2442750	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL495	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL6	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL560993	compound_drug_indication_mesh_chembl	Infections
uniprot	P43119	PI2R_HUMAN	uniprot	P43119	structure_data_existence_uniprot	Proteins without structure data
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL548	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL1139	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL477	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL406393	compound_drug_development_phase_chembl	4: Indication Discovery & expansion
uniprot	P43119	PI2R_HUMAN	chembl_compound	CHEMBL1236970	compound_drug_development_phase_chembl	3: Safety & Efficacy
